"species","long","lat"
"Viverra tangalunga",118.501693916974,5.21011266023263
"Viverra tangalunga",118.501693916974,5.21011266023263
"Viverra tangalunga",118.503507950926,5.21047911093805
"Viverra tangalunga",118.491829975389,5.16604889452516
"Viverra tangalunga",118.492625329437,5.16672528933811
"Viverra tangalunga",118.492625329437,5.16672528933811
"Viverra tangalunga",118.494435949918,5.16569006463086
"Viverra tangalunga",118.491829975389,5.16604889452516
"Viverra tangalunga",118.480096374142,5.16285685546423
"Viverra tangalunga",118.481260342065,5.16301692550285
"Viverra tangalunga",117.116667,5.55
"Viverra tangalunga",116.533333,6.45
"Viverra tangalunga",115.783333,5.416667
"Viverra tangalunga",117.795839,4.969705
"Viverra tangalunga",117.795839,4.969705
"Viverra tangalunga",117.795839,4.969705
"Viverra tangalunga",117.769918,5.026651
"Viverra tangalunga",117.769918,5.026651
"Viverra tangalunga",117.888451,4.980907
"Viverra tangalunga",117.84193,4.970902
"Viverra tangalunga",117.84193,4.970902
"Viverra tangalunga",117.84193,4.970902
"Viverra tangalunga",117.794123,5.016818
"Viverra tangalunga",118.28,5.49
"Viverra tangalunga",117.75,5.02
"Viverra tangalunga",117.795839,4.969705
"Viverra tangalunga",118.2222222222,5.480277777777
"Viverra tangalunga",118.6552778,5.2028
"Viverra tangalunga",117.882752712214,4.99200368235694
"Viverra tangalunga",117.88914657985,4.95084684118685
"Viverra tangalunga",117.881603093015,4.97537947639834
"Viverra tangalunga",117.836649957723,4.97543810960196
"Viverra tangalunga",117.810921319327,5.0082700954042
"Viverra tangalunga",117.773575388726,4.95969407675703
"Viverra tangalunga",117.762964119749,4.95590716196639
"Viverra tangalunga",117.749370212981,5.01816726951896
"Viverra tangalunga",117.753477786758,5.02891804954372
"Viverra tangalunga",117.759519799727,4.98051582311848
"Viverra tangalunga",117.673267143129,5.14189064015708
"Viverra tangalunga",117.679387824981,5.08542829963882
"Viverra tangalunga",117.666860188294,5.11465992515118
"Viverra tangalunga",117.668459763536,5.09985902950012
"Viverra tangalunga",117.694654615764,5.18783905743396
"Viverra tangalunga",118.538625314209,5.20677687844022
