observation,id,gps_y,gps_x,date,year,group_size,n_piglets,weather
61,743,52.5708589702094,13.2876233822302,2016-02-29T11:58:00Z,2016,10,10,sunny
62,744,52.4367046492761,13.2515423065618,2016-03-04T18:28:00Z,2016,5,1,sunny
63,748,52.4134764286165,13.1201548408265,2016-03-27T16:11:00Z,2016,5,1,cloudy
64,752,52.4186224489761,13.5955452669717,2016-04-10T20:07:00Z,2016,5,1,cloudy
65,753,52.4693175877746,13.2287220722631,2016-04-11T10:19:00Z,2016,10,10,cloudy
66,758,52.4090628293867,13.1206354866575,2016-04-16T17:58:00Z,2016,1,0,sunny
67,776,52.4129005447339,13.1068253343167,2016-05-05T13:13:00Z,2016,1,0,sunny
68,777,52.4014387912661,13.126145839515,2016-05-08T15:57:00Z,2016,10,12,sunny
69,778,52.405125304555,13.1201548480297,2016-05-08T16:04:00Z,2016,5,3,sunny
70,794,52.615373215646,13.2249026066259,2016-05-16T11:59:00Z,2016,1,0,cloudy
71,795,52.5664682108139,13.2754936858443,2016-05-16T22:06:00Z,2016,10,NA,rainy
72,799,52.4050284338867,13.1220044844034,2016-05-21T19:20:00Z,2016,1,0,cloudy
73,800,52.4092356177443,13.109511826124,2016-05-21T19:27:00Z,2016,5,NA,cloudy
74,806,52.427967,13.703983,2016-05-23T10:36:00Z,2016,10,6,sunny
75,808,52.61787457729,13.2270483738378,2016-05-24T16:28:00Z,2016,5,0,cloudy
76,809,52.6190730957643,13.2264690166906,2016-05-24T16:34:00Z,2016,5,3,cloudy
77,810,52.4060364169826,13.1193308846835,2016-06-04T19:41:00Z,2016,1,0,sunny
78,811,52.4056332252895,13.1225151769016,2016-06-05T16:16:00Z,2016,5,4,sunny
79,812,52.4094502816137,13.1053147159676,2016-06-05T16:24:00Z,2016,1,0,sunny
80,843,52.6170310351029,13.2301060921148,2016-06-15T08:36:00Z,2016,1,0,rainy
81,844,52.6166760260024,13.2327131992773,2016-06-15T08:41:00Z,2016,1,0,cloudy
82,847,52.6166239143325,13.2332281834081,2016-06-17T12:35:00Z,2016,5,8,rainy
83,848,52.6166760260024,13.2261686092809,2016-06-18T23:43:00Z,2016,5,2,sunny
