Habitat,Lon,Lat,temperature_2016,temperature_2017,temperature_2018,temperature_2019,temperature_2020,temperature_2021,temperature_2022
rural,13.70660622,52.40438314,29.5,35,31,27,29,29,28.5
urban,13.43798063,52.47138128,31,43,36,30,28,31,30.5
